"","Financial.Year","Demographic.Derived.Household.Type.LCFS","Expenditure.Housing_mean_ratio","Expenditure.Housing_median_ratio","Expenditure.Utilities.MART_mean_ratio","Expenditure.Utilities.MART_median_ratio","Expenditure.Food.House.Keeping.MART_mean_ratio","Expenditure.Food.House.Keeping.MART_median_ratio","Demographic.Housing","Demographic.Role.Type","Demographic.Disabled","Demographic.UC","Demographic.ethnicity.HRP"
"12","2021-22","Other adults and Dependent children",0.224791123446419,0.190279290808794,0.041555840109819,0.0333473545712456,0.12226929814897,0.0951547215772847,NA,NA,NA,NA,NA
"13","2021-22","Single Person",0.214823679962475,0.0984452553747841,0.112358101011709,0.0691982387999767,0.272052102780009,0.176563270370449,NA,NA,NA,NA,NA
"14","2021-22","Single Person With Dependent Children",0.365928025202462,0.334930069059505,0.0916404148259121,0.0764137349469434,0.235902560398971,0.207623872067962,NA,NA,NA,NA,NA
"15","2022-23","Adults only",0.147194000513857,0.0883486036022956,0.019873460421253,0.0178323310582668,0.0626798211413246,0.0534638369040417,NA,NA,NA,NA,NA
"16","2022-23","Couple",0.13259966919341,0.0682836677532063,0.0582677395317907,0.049140792784446,0.137407377910081,0.116038458864149,NA,NA,NA,NA,NA
"17","2022-23","Couple With Dependent Children",0.34118339521389,0.317716822430616,0.0579548931053352,0.0484234770988551,0.147324677400712,0.123611446878883,NA,NA,NA,NA,NA
"18","2022-23","Other",0.242304261889185,0.172410649903157,0.0440756940373389,0.0453328749147876,0.0851224553339399,0.0916731470398299,NA,NA,NA,NA,NA
"19","2022-23","Other adults and Dependent children",0.230741333540144,0.194206154034982,0.0467319276040643,0.037748682306856,0.120232828987415,0.0886892212984049,NA,NA,NA,NA,NA
"20","2022-23","Single Person",0.241857827632619,0.10069088732005,0.122249297963932,0.0772893449190771,0.281621800259806,0.175896558404768,NA,NA,NA,NA,NA
"21","2022-23","Single Person With Dependent Children",0.382091307267923,0.345961608882764,0.106281443647187,0.0921917207583721,0.234654850510641,0.200993439065602,NA,NA,NA,NA,NA
"22","2023-24","Adults only",0.148752401853627,0.0858260712776121,0.0244049746459628,0.0228064646313101,0.0570857535635071,0.0470514737899483,NA,NA,NA,NA,NA
"23","2023-24","Couple",0.133122430075249,0.0660209886976073,0.0604298928538798,0.0511440820306791,0.136026690063177,0.115044205035982,NA,NA,NA,NA,NA
"24","2023-24","Couple With Dependent Children",0.364591673744745,0.338135125800915,0.0585532626078526,0.0496773905244611,0.140153304529023,0.119770948376882,NA,NA,NA,NA,NA
"25","2023-24","Other",0.236198613560119,0.176994239722317,0.0466480656357091,0.0423739565736805,0.0885948053756039,0.0979309218488146,NA,NA,NA,NA,NA
"26","2023-24","Other adults and Dependent children",0.238374710871972,0.197716377359527,0.0461004080742845,0.0361363734188331,0.122615805400496,0.0966417285094751,NA,NA,NA,NA,NA
"27","2023-24","Single Person",0.233845668275304,0.099378288770028,0.117298367502255,0.076307743654003,0.272537280821965,0.172602723425285,NA,NA,NA,NA,NA
